cenario_id,product_id,nome,artes_gratis,tipo,status_console,reconferido_em,referencia_codigo,entrega_mvp,artes_declaradas,artes_com_fundo_local,artes_sem_fundo_local
,atmosfera_premium,Terra Premium,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,,,
cabana,cenario_cabana,Cabana na floresta,pixel,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;clay;ukiyoe;needlefelting;doodle,pixel,aqua;clay;doodle;needlefelting;ukiyoe
tanque,cenario_tanque,Tanque — campo de batalha,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;needlefelting;pixelart,pixel,needlefelting;pixelart
fiordes,cenario_fiordes,Fiordes — vila norueguesa,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
cabana2,cenario_cabana2,Ruína na selva,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;poly2;ukiyoe;ukiyogpt,pixel,poly2;ukiyoe;ukiyogpt
velhooeste,cenario_velhooeste,Velho Oeste,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
heroi,cenario_heroi,Descanso do Herói,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
versalhes,cenario_versalhes,Versalhes,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;pixel2;clay;gizcera;xilogravura,pixel,clay;gizcera;pixel2;xilogravura
babilonia,cenario_babilonia,Jardins da Babilônia,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;pixel2;clay;papelmache,pixel,clay;papelmache;pixel2
telhados,cenario_telhados,Telhados,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;terraco;anime;cartoon;clay;cozy;papercutout;dark;doodle;doodle2;gizcera;impressionista;lowpoly;needlefelting;papelmache;point;puppet;ukiyoe;vangogh;vangoghnoite;xilogravura,pixel,anime;cartoon;clay;cozy;dark;doodle;doodle2;gizcera;impressionista;lowpoly;needlefelting;papelmache;papercutout;point;puppet;terraco;ukiyoe;vangogh;vangoghnoite;xilogravura
forte,cenario_forte,Forte na água,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;clay;papercutout;puppet;ukiyoe;xilogravura,pixel,clay;papercutout;puppet;ukiyoe;xilogravura
camboja,cenario_camboja,Templo das raízes,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
caverna,cenario_caverna,Boca da caverna,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
estacionamento,cenario_estacionamento,Mirante de asfalto,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
mureta,cenario_mureta,Muro do campo,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;pixel2;pixel16;bordado;ceramica;ceramica2;clay;clay2;cozy;fauvismo;gizcera;impalemao;impressionista;lowpoly;point;suburbano;tapecaria;vangogh;xilogravura,pixel,bordado;ceramica;ceramica2;clay;clay2;cozy;fauvismo;gizcera;impalemao;impressionista;lowpoly;pixel16;pixel2;point;suburbano;tapecaria;vangogh;xilogravura
porto,cenario_porto,Porto medieval,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
terrao,cenario_terrao,Campinho de várzea,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
bruxa,cenario_bruxa,Casa da bruxa,clay,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;16bits;16bits2;clay;needlefelting;papelmache,pixel;clay,16bits;16bits2;needlefelting;papelmache
